股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
688179.SH,阿拉丁,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润4726.99万元左右;增长幅度为52.91%左右;上年同期业绩:净利润3091.42万元,基本每股收益0.11元;"
002475.SZ,立讯精密,预增,"预计2024-01-01到2024-06-30业绩：净利润522687.11万元至544465.74万元;增长幅度为20%至25%,基本每股收益0.73元至0.76元;上年同期业绩:净利润435572.59万元,基本每股收益0.61元;"
600345.SH,长江通信,大幅下降,预计2024-01-01到2024-06-30业绩：净利润2266万元至2719万元;下降幅度为55.40%至46.49%;
