股票代码,股票简称,最新价,最新涨跌幅,个股热度[20240606],个股热度排名[20240606],market_code,code
600325.SH,华发股份,7.25,-0.412,37349.5,1226,17,600325
600166.SH,福田汽车,2.36,-2.479,37294.5,1227,17,600166
688318.SH,财富趋势,116.00,-2.382,37268.0,1228,17,688318
301079.SZ,邵阳液压,11.13,-11.946,37259.0,1229,33,301079
603110.SH,东方材料,11.26,-6.478,37225.5,1230,17,603110
002777.SZ,久远银海,15.45,-4.865,37196.5,1231,33,002777
601198.SH,东兴证券,8.17,-1.921,37193.0,1232,17,601198
002486.SZ,嘉麟杰,1.52,-10.059,37164.5,1233,33,002486
300857.SZ,协创数据,56.29,-0.741,37141.0,1234,33,300857
001301.SZ,尚太科技,47.30,0.638,37099.0,1235,33,001301
300618.SZ,寒锐钴业,27.33,-1.193,37055.5,1236,33,300618
002561.SZ,徐家汇,7.26,-4.348,37041.5,1237,33,002561
301269.SZ,华大九天,80.00,-1.720,37001.0,1238,33,301269
600516.SH,方大炭素,4.66,-1.688,36983.5,1239,17,600516
603003.SH,*ST龙宇,3.59,-5.027,36972.5,1240,22,603003
300785.SZ,值得买,17.05,-3.180,36901.5,1241,33,300785
601966.SH,玲珑轮胎,19.93,-0.846,36887.0,1242,17,601966
600467.SH,好当家,1.58,-9.714,36822.0,1243,17,600467
002567.SZ,唐人神,6.41,-4.185,36814.5,1244,33,002567
002959.SZ,小熊电器,57.00,-2.163,36810.0,1245,33,002959
002531.SZ,天顺风能,10.35,-2.359,36804.0,1246,33,002531
601877.SH,正泰电器,20.79,-1.188,36749.5,1247,17,601877
603228.SH,景旺电子,25.43,1.436,36742.0,1248,17,603228
002928.SZ,华夏航空,6.74,-7.418,36729.5,1249,33,002928
605286.SH,同力日升,23.18,-6.419,36692.0,1250,17,605286
600606.SH,绿地控股,1.72,-2.273,36627.5,1251,17,600606
600563.SH,法拉电子,88.13,1.171,36623.0,1252,17,600563
002127.SZ,南极电商,2.68,-2.899,36622.5,1253,33,002127
600986.SH,浙文互联,4.14,-3.721,36621.5,1254,17,600986
603927.SH,中科软,18.16,-2.627,36605.0,1255,17,603927
600200.SH,江苏吴中,9.52,-1.653,36594.0,1256,17,600200
002822.SZ,ST中装,1.19,-4.800,36578.0,1257,33,002822
600859.SH,王府井,12.83,-1.610,36543.5,1258,17,600859
000555.SZ,神州信息,11.49,-2.462,36215.5,1259,33,000555
601211.SH,国泰君安,13.68,-1.013,36199.0,1260,17,601211
300036.SZ,超图软件,13.68,-1.583,36126.5,1261,33,300036
603042.SH,华脉科技,8.90,-5.920,36101.0,1262,17,603042
002128.SZ,电投能源,22.70,2.391,36045.5,1263,33,002128
