股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
688690.SH,纳微科技,预增,预计2024-01-01到2024-06-30业绩：净利润4504.06万元左右;增长幅度为41.51%左右;上年同期业绩:净利润3182.77万元;
688002.SH,睿创微纳,预降,预计2024-01-01到2024-06-30业绩：净利润22000万元左右;下降幅度为13%左右;
688696.SH,极米科技,大幅下降,预计2024-01-01到2024-06-30业绩：净利润367.31万元左右;下降幅度为96.04%左右;上年同期业绩:净利润9272.73万元;
