股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
688313.SH,仕佳光子,扭亏,"预计2024-01-01到2024-06-30业绩：净利润1195.00万元左右;上年同期业绩:净利润-1772.15万元,基本每股收益-0.0391元;"
688550.SH,瑞联新材,大幅上升,预计2024-01-01到2024-06-30业绩：净利润9445.58万元左右;增长幅度为62.04%左右;上年同期业绩:净利润5829.17万元;
