股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
688232.SH,新点软件,减亏,"预计2024-01-01到2024-06-30业绩：净利润-2684.99万元至-1790.00万元;增长幅度为68.22%至78.81%;上年同期业绩:净利润-8449.03万元,基本每股收益-0.26元;"
688511.SH,天微电子,大幅下降,"预计2024-01-01到2024-06-30业绩：净利润138.87万元左右;下降幅度为94.96%左右;上年同期业绩:净利润2753.15万元,基本每股收益0.1936元;"
688070.SH,纵横股份,增亏,预计2024-01-01到2024-06-30业绩：净利润-5059.83万元左右;上年同期业绩:净利润-570.25万元;
