股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
002753.SZ,永东股份,扭亏,"预计2024-01-01到2024-06-30业绩：净利润4500万元至5500万元,基本每股收益0.1211元至0.1480元;上年同期业绩:净利润-433.19万元,基本每股收益-0.0115元;"
600727.SH,鲁北化工,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润15000万元左右;增长幅度为1,091%左右;上年同期业绩:净利润1259.19万元,基本每股收益0.02元;"
600116.SH,三峡水利,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润20800万元至24550万元;增长幅度为564.55%至684.36%;上年同期业绩:净利润3129.93万元,基本每股收益0.02元;"
600360.SH,ST华微,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润6000.00万元至7000.00万元;增长幅度为488.40%至586.46%;上年同期业绩:净利润1019.72万元,基本每股收益0.01元;"
600009.SH,上海机场,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润71000万元至87000万元;增长幅度为435.87%至556.63%;上年同期业绩:净利润13249.57万元,基本每股收益0.05元;"
600114.SH,东睦股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润18500万元至19500万元;增长幅度为419%至447%;上年同期业绩:净利润3567万元,基本每股收益0.06元;"
601500.SH,通用股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润27000万元至30000万元;增长幅度为364.86%至416.51%;上年同期业绩:净利润5808.24万元,基本每股收益0.04元;"
300228.SZ,富瑞特装,大幅上升,预计2024-01-01到2024-06-30业绩：净利润7000万元至8500万元;增长幅度为296%至381%;上年同期业绩:净利润1768.80万元;
000601.SZ,韶能股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润15000万元至18000万元;增长幅度为258.01%至329.62%,基本每股收益0.14元至0.17元;上年同期业绩:净利润4189.79万元,基本每股收益0.04元;"
600673.SH,东阳光,扭亏,"预计2024-01-01到2024-06-30业绩：净利润20000.00万元至28000.00万元;增长幅度为243.98%至301.57%;上年同期业绩:净利润-13890.78万元,基本每股收益-0.046元;"
600623.SH,华谊集团,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润35000.00万元至45000.00万元;增长幅度为215.44%至305.57%;上年同期业绩:净利润11095.52万元,基本每股收益0.05元;"
002455.SZ,百川股份,扭亏,"预计2024-01-01到2024-06-30业绩：净利润8000万元至12000万元,基本每股收益0.13元至0.20元;上年同期业绩:净利润-6290.38万元,基本每股收益-0.11元;"
600310.SH,广西能源,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润1000万元至1500万元;增长幅度为176.56%至314.84%;上年同期业绩:净利润361.59万元,基本每股收益0.0025元;"
003001.SZ,中岩大地,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润1700.00万元至2210.00万元;增长幅度为194.72%至283.14%,基本每股收益0.13元至0.17元;上年同期业绩:净利润576.81万元,基本每股收益0.05元;"
600255.SH,鑫科材料,扭亏,"预计2024-01-01到2024-06-30业绩：净利润2900万元至3900万元;上年同期业绩:净利润-2592.14万元,基本每股收益-0.01元;"
603929.SH,亚翔集成,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润22781.95万元至24680.45万元;增长幅度为207.12%至232.71%;上年同期业绩:净利润7417.93万元,基本每股收益0.3477元;"
002470.SZ,金正大,扭亏,"预计2024-01-01到2024-06-30业绩：净利润16000万元至19000万元;增长幅度为205.66%至225.47%,基本每股收益0.05元至0.06元;上年同期业绩:净利润-15142.69万元,基本每股收益-0.046元;"
603733.SH,仙鹤股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润54000万元至57000万元;增长幅度为198.94%至215.55%;上年同期业绩:净利润18063.88万元,基本每股收益0.26元;"
002584.SZ,西陇科学,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润3200万元至4500万元;增长幅度为154.93%至258.49%,基本每股收益0.05元至0.08元;上年同期业绩:净利润1255.25万元,基本每股收益0.02元;"
603379.SH,三美股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润33357.97万元至43365.37万元;增长幅度为157.19%至234.35%;上年同期业绩:净利润12970.17万元,基本每股收益0.21元;"
600969.SH,郴电国际,扭亏,"预计2024-01-01到2024-06-30业绩：净利润2000万元左右;上年同期业绩:净利润-2101.37万元,基本每股收益-0.0568元;"
600004.SH,白云机场,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润40401.00万元至49379.00万元;增长幅度为155.67%至212.48%;上年同期业绩:净利润15802.25万元,基本每股收益0.07元;"
603058.SH,永吉股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润7400万元至7900万元;增长幅度为162.47%至180.21%;上年同期业绩:净利润2819.34万元,基本每股收益0.068元;"
603530.SH,神马电力,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润13150.29万元至14350.29万元;增长幅度为158.66%至182.26%;上年同期业绩:净利润5084.04万元,基本每股收益0.12元;"
002124.SZ,ST天邦,扭亏,"预计2024-01-01到2024-06-30业绩：净利润82000万元至88000万元,基本每股收益0.3690元至0.3961元;上年同期业绩:净利润-125600万元,基本每股收益-0.6831元;"
000998.SZ,隆平高科,扭亏,"预计2024-01-01到2024-06-30业绩：净利润9000万元至12000万元,基本每股收益0.0683元至0.0911元;上年同期业绩:净利润-16085.59万元,基本每股收益-0.1221元;"
600150.SH,中国船舶,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润135000万元至150000万元;增长幅度为144.04%至171.16%;上年同期业绩:净利润55318万元,基本每股收益0.124元;"
600550.SH,保变电气,扭亏,"预计2024-01-01到2024-06-30业绩：净利润2200万元左右;上年同期业绩:净利润-3955.80万元,基本每股收益-0.021元;"
600578.SH,京能电力,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润86900.00万元至95900万元;增长幅度为135.90%至160.33%;上年同期业绩:净利润36837.21万元,基本每股收益0.04元;"
600567.SH,山鹰国际,扭亏,"预计2024-01-01到2024-06-30业绩：净利润9000万元至13500万元;上年同期业绩:净利润-27109.22万元,基本每股收益-0.06元;"
002571.SZ,德力股份,扭亏,"预计2024-01-01到2024-06-30业绩：净利润1300.00万元至1900.00万元;增长幅度为126.24%至138.35%,基本每股收益0.0332元至0.0485元;上年同期业绩:净利润-4953.89万元,基本每股收益-0.1264元;"
603087.SH,甘李药业,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润29000.00万元至33000.00万元;增长幅度为116.17%至145.98%;上年同期业绩:净利润13415.52万元,基本每股收益0.24元;"
603583.SH,捷昌驱动,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润18460.00万元至19460.00万元;增长幅度为116.46%至128.18%;上年同期业绩:净利润8528.29万元,基本每股收益0.22元;"
603189.SH,网达软件,扭亏,"预计2024-01-01到2024-06-30业绩：净利润500.00万元至800.00万元;上年同期业绩:净利润-3557.16万元,基本每股收益-0.13元;"
002189.SZ,中光学,扭亏,"预计2024-01-01到2024-06-30业绩：净利润1200万元至1500万元,基本每股收益0.05元至0.06元;上年同期业绩:净利润-8249.43万元,基本每股收益-0.32元;"
600186.SH,莲花控股,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润10100.00万元至11000.00万元;增长幅度为101.36%至119.30%;上年同期业绩:净利润5015.96万元,基本每股收益0.03元;"
600420.SH,国药现代,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润68800万元至74800万元;增长幅度为99.42%至116.81%;上年同期业绩:净利润34494.28万元,基本每股收益0.2860元;"
600778.SH,友好集团,扭亏,"预计2024-01-01到2024-06-30业绩：净利润750万元左右;上年同期业绩:净利润-10097.81万元,基本每股收益-0.3242元;"
600232.SH,金鹰股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润3400万元至3900万元;增长幅度为89.37%至117.22%;上年同期业绩:净利润1795.45万元,基本每股收益0.049元;"
600744.SH,华银电力,扭亏,"预计2024-01-01到2024-06-30业绩：净利润486万元左右;上年同期业绩:净利润-15400.00万元,基本每股收益-0.076元;"
002532.SZ,天山铝业,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润207000.00万元左右;增长幅度为103%左右,基本每股收益为0.45元左右;上年同期业绩:净利润101917.63万元,基本每股收益0.22元;"
603009.SH,北特科技,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润3500万元至3850万元;增长幅度为86.19%至104.81%;上年同期业绩:净利润1879.75万元,基本每股收益0.0524元;"
603026.SH,石大胜华,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润3000.00万元至4500.00万元;增长幅度为55.69%至133.54%;上年同期业绩:净利润1926.86万元,基本每股收益0.10元;"
603048.SH,浙江黎明,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润2000万元至3000万元;增长幅度为55.11%至132.67%;上年同期业绩:净利润1289.37万元,基本每股收益0.09元;"
603655.SH,朗博科技,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润1150万元至1300万元;增长幅度为81.96%至105.70%;上年同期业绩:净利润632.305412万元,基本每股收益0.06元;"
002311.SZ,海大集团,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润205000.00万元至220100.00万元;增长幅度为86.33%至100.06%,基本每股收益1.23元至1.32元;上年同期业绩:净利润110018.06万元,基本每股收益0.67元;"
603477.SH,巨星农牧,减亏,预计2024-01-01到2024-06-30业绩：净利润-4900万元至-3200万元;上年同期业绩:净利润-34832.13万元;
601616.SH,广电电气,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润2550.00万元至3300.00万元;增长幅度为60.61%至107.85%;上年同期业绩:净利润1587.68万元,基本每股收益0.0186元;"
002068.SZ,黑猫股份,减亏,"预计2024-01-01到2024-06-30业绩：净利润-6000.00万元至-4200.00万元,基本每股收益-0.0809元至-0.0566元;上年同期业绩:净利润-23588.47万元,基本每股收益-0.3213元;"
603200.SH,上海洗霸,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润3650万元至4350万元;增长幅度为62.22%至93.33%;上年同期业绩:净利润2250万元,基本每股收益0.13元;"
600714.SH,金瑞矿业,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润1093万元左右;增长幅度为76.29%左右;上年同期业绩:净利润620万元,基本每股收益0.022元;"
