股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
603221.SH,爱丽家居,扭亏,"预计2024-01-01到2024-06-30业绩：净利润6750万元至7500万元;上年同期业绩:净利润-85.91万元,基本每股收益-0.0036元;"
605007.SH,五洲特纸,扭亏,"预计2024-01-01到2024-06-30业绩：净利润22500万元至23500万元;上年同期业绩:净利润-1214.57万元,基本每股收益-0.03元;"
603177.SH,德创环保,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润2080.00万元左右;增长幅度为972.52%左右;上年同期业绩:净利润193.94万元,基本每股收益0.01元;"
600707.SH,彩虹股份,扭亏,"预计2024-01-01到2024-06-30业绩：净利润85000万元至95000万元;上年同期业绩:净利润-26998.25万元,基本每股收益-0.075元;"
600367.SH,红星发展,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润1700万元至2500万元;增长幅度为327.14%至528.14%;上年同期业绩:净利润398万元,基本每股收益0.01元;"
600171.SH,上海贝岭,扭亏,"预计2024-01-01到2024-06-30业绩：净利润12000万元至14000万元;上年同期业绩:净利润-6330万元,基本每股收益-0.09元;"
605055.SH,迎丰股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润2500万元至3000万元;增长幅度为168.12%至221.74%;上年同期业绩:净利润932.42万元,基本每股收益0.02元;"
600865.SH,百大集团,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润5000万元至7000万元;增长幅度为141.77%至238.47%;上年同期业绩:净利润2068.12万元,基本每股收益0.05元;"
601700.SH,风范股份,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润7300万元至8700万元;增长幅度为164%至215%;上年同期业绩:净利润2756.32万元,基本每股收益0.024元;"
603779.SH,威龙股份,扭亏,"预计2024-01-01到2024-06-30业绩：净利润678万元至1065万元;上年同期业绩:净利润-1306.22万元,基本每股收益-0.04元;"
600615.SH,丰华股份,扭亏,"预计2024-01-01到2024-06-30业绩：净利润190万元至280万元;上年同期业绩:净利润-352.25万元,基本每股收益-0.019元;"
600819.SH,耀皮玻璃,扭亏,"预计2024-01-01到2024-06-30业绩：净利润6200万元左右;上年同期业绩:净利润-9919.38万元,基本每股收益-0.11元;"
600746.SH,江苏索普,扭亏,"预计2024-01-01到2024-06-30业绩：净利润11000万元至12500万元;上年同期业绩:净利润-25614.90万元,基本每股收益-0.2193元;"
600503.SH,华丽家族,扭亏,"预计2024-01-01到2024-06-30业绩：净利润246万元至369万元;上年同期业绩:净利润-1943.56万元,基本每股收益-0.0121元;"
601058.SH,赛轮轮胎,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润212000.00万元至218000.00万元;增长幅度为102.68%至108.41%;上年同期业绩:净利润104600.00万元,基本每股收益0.34元;"
605116.SH,奥锐特,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润17500.00万元至21500.00万元;增长幅度为82%至124%;上年同期业绩:净利润9589.71万元,基本每股收益0.24元;"
600979.SH,广安爱众,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润10832.97万元至12716.97万元;增长幅度为66.65%至95.64%;上年同期业绩:净利润6500.29万元,基本每股收益0.0528元;"
603726.SH,朗迪集团,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润9109万元至10206万元;增长幅度为66%至86%;上年同期业绩:净利润5485.17万元,基本每股收益0.3元;"
605500.SH,森林包装,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润6850.00万元至9000.00万元;增长幅度为51.06%至98.48%;上年同期业绩:净利润4534.49万元,基本每股收益0.11元;"
605319.SH,无锡振华,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润15500.00万元至16000.00万元;增长幅度为71.23%至76.76%;上年同期业绩:净利润9051.91万元,基本每股收益0.39元;"
603286.SH,日盈电子,大幅上升,"预计2024-01-01到2024-06-30业绩：净利润700万元至900万元;增长幅度为52.05%至95.49%;上年同期业绩:净利润460.3733万元,基本每股收益0.05元;"
