股票代码,股票简称,业绩预告类型[20240630],业绩预告摘要[20240630]
688597.SH,煜邦电力,大幅上升,预计2024-01-01到2024-06-30业绩：净利润3400.00万元至4000.00万元;增长幅度为668.27%至803.85%;上年同期业绩:净利润442.55万元;
301030.SZ,仕净科技,预增,预计2024-01-01到2024-06-30业绩：净利润12000.00万元至15000.00万元;增长幅度为16.14%至45.17%;上年同期业绩:净利润10332.38万元;
301015.SZ,百洋医药,预增,预计2024-01-01到2024-06-30业绩：净利润35995万元至37507万元;增长幅度为19%至24%;上年同期业绩:净利润30247.52万元;
300938.SZ,信测标准,预增,预计2024-01-01到2024-06-30业绩：净利润9026.13万元至9518.46万元;增长幅度为10%至16%;上年同期业绩:净利润8205.57万元;
603310.SH,巍华新材,预降,预计2024-01-01到2024-06-30业绩：净利润18291.87万元至21591.87万元;下降幅度为44.43%至34.40%;上年同期业绩:净利润32915.24万元;
